id,organismo,linea_servicio,dia,fecha,afluencia_tarjeta,afluencia_boleto,afluencia_total_preliminar
347,Ecobici,N/A,Miércoles,2021-02-10,,,"10,233"
348,Ecobici,N/A,Jueves,2021-02-11,,,"10,089"
349,Ecobici,N/A,Viernes,2021-02-12,,,"11,422"
350,Ecobici,N/A,Sábado,2021-02-13,,,"9,045"
351,Ecobici,N/A,Domingo,2021-02-14,,,"7,363"
352,Ecobici,N/A,Lunes,2021-02-15,,,"10,456"
353,Ecobici,N/A,Martes,2021-02-16,,,"11,862"
354,Ecobici,N/A,Miércoles,2021-02-17,,,"11,888"
355,Ecobici,N/A,Jueves,2021-02-18,,,"11,841"
356,Ecobici,N/A,Viernes,2021-02-19,,,"11,728"
357,Ecobici,N/A,Sábado,2021-02-20,,,"9,015"
358,Ecobici,N/A,Domingo,2021-02-21,,,"7,481"
359,Ecobici,N/A,Lunes,2021-02-22,,,"11,055"
360,Ecobici,N/A,Martes,2021-02-23,,,"12,036"
361,Ecobici,N/A,Miércoles,2021-02-24,,,"12,091"
362,Ecobici,N/A,Jueves,2021-02-25,,,"12,361"
363,Ecobici,N/A,Viernes,2021-02-26,,,"12,413"
364,Ecobici,N/A,Sábado,2021-02-27,,,"9,053"
365,Ecobici,N/A,Domingo,2021-02-28,,,"7,497"
366,Ecobici,N/A,Lunes,2021-03-01,,,"11,974"
367,Ecobici,N/A,Martes,2021-03-02,,,"12,900"
368,Ecobici,N/A,Miércoles,2021-03-03,,,"12,773"
369,Ecobici,N/A,Jueves,2021-03-04,,,"12,479"
370,Ecobici,N/A,Viernes,2021-03-05,,,"12,947"
371,Ecobici,N/A,Sábado,2021-03-06,,,"8,478"
372,Ecobici,N/A,Domingo,2021-03-07,,,"7,143"
373,Ecobici,N/A,Lunes,2021-03-08,,,"11,914"
374,Ecobici,N/A,Martes,2021-03-09,,,"12,776"
375,Ecobici,N/A,Miércoles,2021-03-10,,,"11,647"
376,Ecobici,N/A,Jueves,2021-03-11,,,"12,891"
377,Ecobici,N/A,Viernes,2021-03-12,,,"12,655"
378,Ecobici,N/A,Sábado,2021-03-13,,,"8,847"
379,Ecobici,N/A,Domingo,2021-03-14,,,"7,825"
380,Ecobici,N/A,Lunes,2021-03-15,,,"7,877"
381,Ecobici,N/A,Martes,2021-03-16,,,"12,836"
382,Ecobici,N/A,Miércoles,2021-03-17,,,"12,790"
383,Ecobici,N/A,Jueves,2021-03-18,,,"11,860"
384,Ecobici,N/A,Viernes,2021-03-19,,,"12,950"
385,Ecobici,N/A,Sábado,2021-03-20,,,"9,035"
386,Ecobici,N/A,Domingo,2021-03-21,,,"8,593"
387,Ecobici,N/A,Lunes,2021-03-22,,,"12,179"
388,Ecobici,N/A,Martes,2021-03-23,,,"13,278"
389,Ecobici,N/A,Miércoles,2021-03-24,,,"13,157"
390,Ecobici,N/A,Jueves,2021-03-25,,,"13,522"
